No errors
No warnings
102 ms
data source=metars
4909 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
KASJ 272205Z AUTO 21005KT 10SM SCT070 OVC080 10/03 A2996 RMK AO2 T00970032,KASJ,2025-01-27T22:05:00Z,36.2941,-77.1724,9.7,3.2,210,5,,10+,29.96,,,TRUE,TRUE,,,,,,,SCT,7000,OVC,8000,,,,,VFR,,,,,,,,,,,,METAR,20
K2G4 272205Z AUTO 24016G22KT 10SM CLR M01/M15 A2977 RMK AO2,K2G4,2025-01-27T22:05:00Z,39.5827,-79.3418,-1,-15,240,16,22,10+,29.77,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,908
K0W3 272205Z AUTO 20008KT 10SM CLR 04/M07 A2984 RMK AO2 T00401075 $,K0W3,2025-01-27T22:05:00Z,39.566,-76.202,4,-7.5,200,8,,10+,29.84,,,TRUE,TRUE,TRUE,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,125
UHHH 272204Z 04010MPS 3200 -SHSN BLSN SCT011 BKN022CB M11/M13 Q1018 R88/451045 NOSIG RMK QFE757/1010,UHHH,2025-01-27T22:04:00Z,48.527,135.184,-11,-13,40,19,,1.99,30.06,,,,,,TRUE,,,,-SHSN BLSN,SCT,1100,BKN,2200,,,,,IFR,,,,,,,,,,,,SPECI,74
PABL 272204Z AUTO 23016KT 2 1/2SM -SN BKN025 BKN031 OVC038 M19/M22 A2957 RMK AO2 P0000 FZRANO,PABL,2025-01-27T22:04:00Z,65.979,-161.146,-19,-22,230,16,,2.5,29.57,,,TRUE,TRUE,,,,TRUE,,-SN,BKN,2500,BKN,3100,OVC,3800,,,IFR,,,,,,0.005,,,,,,SPECI,7
KRDU 272204Z 20009KT 10SM BKN014 BKN050 OVC070 10/05 A2996 RMK AO2 T01000050,KRDU,2025-01-27T22:04:00Z,35.8923,-78.782,10,5,200,9,,10+,29.96,,,,TRUE,,,,,,,BKN,1400,BKN,5000,OVC,7000,,,MVFR,,,,,,,,,,,,SPECI,121
KMGM 272204Z 29007KT 10SM FEW009 OVC014 14/12 A3009 RMK AO2 T01390122,KMGM,2025-01-27T22:04:00Z,32.2997,-86.4074,13.9,12.2,290,7,,10+,30.09,,,,TRUE,,,,,,,FEW,900,OVC,1400,,,,,MVFR,,,,,,,,,,,,SPECI,64
KMCB 272204Z AUTO 33007KT 10SM OVC009 12/09 A3016 RMK AO2 T01170089 $,KMCB,2025-01-27T22:04:00Z,31.1823,-90.4721,11.7,8.9,330,7,,10+,30.16,,,TRUE,TRUE,TRUE,,,,,,OVC,900,,,,,,,IFR,,,,,,,,,,,,SPECI,124
KGCN 272204Z 15004KT 1/4SM SN FZFG FU BKN008 OVC043 M01/M03 A2999 RMK AO2 P0000 T10111028,KGCN,2025-01-27T22:04:00Z,35.9458,-112.155,-1.1,-2.8,150,4,,0.25,29.99,,,,TRUE,,,,,,SN FZFG FU,BKN,800,OVC,4300,,,,,LIFR,,,,,,0.005,,,,,,SPECI,1993
KABY 272204Z 30003KT 1SM RA BR BKN005 OVC012 12/11 A3011 RMK AO2 CIG 003V008 P0004 T01170111,KABY,2025-01-27T22:04:00Z,31.5364,-84.1958,11.7,11.1,300,3,,1,30.11,,,,TRUE,,,,,,RA BR,BKN,500,OVC,1200,,,,,IFR,,,,,,0.04,,,,,,SPECI,60
K4I3 272204Z AUTO 21008KT 10SM CLR 00/M12 A2985 RMK AO2,K4I3,2025-01-27T22:04:00Z,40.3268,-82.5201,0,-12,210,8,,10+,29.85,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,361
SVVL 272203Z AUTO NIL,SVVL,2025-01-27T22:03:00Z,9.34,-70.585,,,,,,,0.00,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,575
SVVA 272203Z AUTO 21003KT NCD 32/14 Q1010,SVVA,2025-01-27T22:03:00Z,10.154,-67.92,32,14,210,3,,,29.82,,,TRUE,,,,,,,,CLR,,,,,,,,,,,,,,,,,,,,METAR,428
SVSR 272203Z AUTO NIL,SVSR,2025-01-27T22:03:00Z,7.881,-67.443,,,,,,,0.00,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,49
SVSA 272203Z AUTO 11009KT NCD 32/13 Q1007,SVSA,2025-01-27T22:03:00Z,7.841,-72.441,32,13,110,9,,,29.73,,,TRUE,,,,,,,,CLR,,,,,,,,,,,,,,,,,,,,METAR,383
SVPR 272203Z AUTO NIL,SVPR,2025-01-27T22:03:00Z,8.288,-62.76,,,,,,,0.00,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,140
SVPA 272203Z AUTO NIL,SVPA,2025-01-27T22:03:00Z,5.622,-67.605,,,,,,,0.00,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,77
SVMT 272203Z AUTO 07006KT NCD 27/25 Q1012,SVMT,2025-01-27T22:03:00Z,9.748,-63.156,27,25,70,6,,,29.88,,,TRUE,,,,,,,,CLR,,,,,,,,,,,,,,,,,,,,METAR,67
SVMI 272203Z AUTO 07010KT NCD 26/20 Q1011,SVMI,2025-01-27T22:03:00Z,10.603,-66.991,26,20,70,10,,,29.85,,,TRUE,,,,,,,,CLR,,,,,,,,,,,,,,,,,,,,METAR,48
SVMG 272203Z AUTO NIL,SVMG,2025-01-27T22:03:00Z,10.913,-63.968,,,,,,,0.00,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,16
SVMC 272203Z AUTO 20003KT NCD 33/20 Q1007,SVMC,2025-01-27T22:03:00Z,10.558,-71.728,33,20,200,3,,,29.73,,,TRUE,,,,,,,,CLR,,,,,,,,,,,,,,,,,,,,METAR,76
SVLO 272203Z AUTO NIL,SVLO,2025-01-27T22:03:00Z,11.805,-66.192,,,,,,,0.00,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,3
SVJM 272203Z AUTO 26005KT NCD 31/16 Q1009,SVJM,2025-01-27T22:03:00Z,9.909,-67.377,31,16,260,5,,,29.79,,,TRUE,,,,,,,,CLR,,,,,,,,,,,,,,,,,,,,METAR,448
SVGU 272203Z AUTO ///01KT NCD ///// Q1010,SVGU,2025-01-27T22:03:00Z,9.027,-69.755,,,,,,,29.82,,,TRUE,,,,,,,,CLR,,,,,,,,,,,,,,,,,,,,METAR,165
SVGD 272203Z AUTO NIL,SVGD,2025-01-27T22:03:00Z,7.212,-70.755,,,,,,,0.00,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,129
SVFM 272203Z AUTO NIL,SVFM,2025-01-27T22:03:00Z,10.487,-66.846,,,,,,,0.00,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,852
SVCS 272203Z AUTO NIL,SVCS,2025-01-27T22:03:00Z,10.287,-66.816,,,,,,,0.00,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,656
SVCB 272203Z AUTO NIL,SVCB,2025-01-27T22:03:00Z,8.121,-63.533,,,,,,,0.00,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,47
SVBS 272203Z AUTO 24005KT NCD 31/17 Q1012,SVBS,2025-01-27T22:03:00Z,10.25,-67.649,31,17,240,5,,,29.88,,,TRUE,,,,,,,,CLR,,,,,,,,,,,,,,,,,,,,METAR,435
SVBM 272203Z AUTO 17012KT NCD 29/14 Q1012,SVBM,2025-01-27T22:03:00Z,10.043,-69.358,29,14,170,12,,,29.88,,,TRUE,,,,,,,,CLR,,,,,,,,,,,,,,,,,,,,METAR,624
SVBI 272203Z AUTO ///01KT NCD ///// Q////,SVBI,2025-01-27T22:03:00Z,8.62,-70.22,,,,,,,0.00,,,TRUE,,,,,,,,CLR,,,,,,,,,,,,,,,,,,,,METAR,185
SVBC 272203Z AUTO 02009KT NCD 31/22 Q1010,SVBC,2025-01-27T22:03:00Z,10.107,-64.689,31,22,20,9,,,29.82,,,TRUE,,,,,,,,CLR,,,,,,,,,,,,,,,,,,,,METAR,7
PABR 272203Z 06010KT 4SM -SN FEW026 OVC100 M19/M22 A2970,PABR,2025-01-27T22:03:00Z,71.2837,-156.784,-19,-22,60,10,,4,29.70,,,,,,,,,,-SN,FEW,2600,OVC,10000,,,,,MVFR,,,,,,,,,,,,SPECI,6
MPSM 272203Z 36014KT 9000 FEW030 31/22 Q1006,MPSM,2025-01-27T22:03:00Z,8.386,-80.131,31,22,360,14,,5.59,29.70,,,,,,,,,,,FEW,3000,,,,,,,VFR,,,,,,,,,,,,METAR,36
KSDB 272203Z AUTO 35009G16KT 10SM FEW009 01/M01 A3006 RMK AO2 T00111006,KSDB,2025-01-27T22:03:00Z,34.7433,-118.725,1.1,-0.6,350,9,16,10+,30.06,,,TRUE,TRUE,,,,,,,FEW,900,,,,,,,VFR,,,,,,,,,,,,SPECI,1377
KLHM 272202Z AUTO 28007KT 10SM CLR 17/M03 A3010 RMK AO1,KLHM,2025-01-27T22:02:00Z,38.9148,-121.352,17,-3,280,7,,10+,30.10,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,36
PAFS 272201Z AUTO 26019G25KT 9SM -SN OVC075 M13/M17 A2973 RMK AO2 PK WND 26028/2139 SNE2109B2133 SLP079 P0000 T11281167 FZRANO,PAFS,2025-01-27T22:01:00Z,63.015,-154.367,-12.8,-16.7,260,19,25,9,29.73,1007.9,,TRUE,TRUE,,,,TRUE,,-SN,OVC,7500,,,,,,,VFR,,,,,,0.005,,,,,,METAR,131
KRMG 272201Z AUTO 00000KT 10SM FEW013 BKN017 OVC024 10/07 A3005 RMK AO2 T01000072,KRMG,2025-01-27T22:01:00Z,34.3483,-85.1616,10,7.2,0,0,,10+,30.05,,,TRUE,TRUE,,,,,,,FEW,1300,BKN,1700,OVC,2400,,,MVFR,,,,,,,,,,,,SPECI,196
KFVE 272201Z AUTO 18013G27KT 2SM -SN OVC020 M04/M08 A2919 RMK AO2 PK WND 21027/2157 P0000 T10391078 $,KFVE,2025-01-27T22:01:00Z,47.2852,-68.3072,-3.9,-7.8,180,13,27,2,29.19,,,TRUE,TRUE,TRUE,,,,,-SN,OVC,2000,,,,,,,IFR,,,,,,0.005,,,,,,SPECI,299
ZYTX 272200Z 33004MPS 300V010 3000 -SN BR SCT013 OVC030 M12/M14 Q1019 NOSIG,ZYTX,2025-01-27T22:00:00Z,41.639,123.485,-12,-14,330,8,,1.86,30.09,,,,,,TRUE,,,,-SN BR,SCT,1300,OVC,3000,,,,,IFR,,,,,,,,,,,,METAR,56
ZYTL 272200Z 33005G10MPS 300V010 9999 BKN033 M06/M12 Q1021 NOSIG,ZYTL,2025-01-27T22:00:00Z,38.961,121.556,-6,-12,330,10,19,6+,30.15,,,,,,TRUE,,,,,BKN,3300,,,,,,,VFR,,,,,,,,,,,,METAR,33
ZYHB 272200Z 36005MPS 3000 -SN BR OVC030 M13/M15 Q1014 NOSIG,ZYHB,2025-01-27T22:00:00Z,45.628,126.259,-13,-15,360,10,,1.86,29.94,,,,,,TRUE,,,,-SN BR,OVC,3000,,,,,,,IFR,,,,,,,,,,,,METAR,134
ZYCC 272200Z 36003MPS 330V040 2000 -SN BR FEW010 OVC023 M13/M15 Q1012 BECMG TL2330 3000,ZYCC,2025-01-27T22:00:00Z,43.993,125.682,-13,-15,360,6,,1.24,29.88,,,,,,,,,,-SN BR,FEW,1000,OVC,2300,,,,,IFR,,,,,,,,,,,,METAR,211
ZWWW 272200Z 12001MPS 3000 BR NSC M20/M23 Q1030 NOSIG,ZWWW,2025-01-27T22:00:00Z,43.907,87.474,-20,-23,120,2,,1.86,30.41,,,,,,TRUE,,,,BR,CLR,,,,,,,,IFR,,,,,,,,,,,,METAR,654
ZWSH 272200Z 31003MPS 8000 NSC M07/M17 Q1026 NOSIG,ZWSH,2025-01-27T22:00:00Z,39.542,76.019,-7,-17,310,6,,4.97,30.30,,,,,,TRUE,,,,,CLR,,,,,,,,MVFR,,,,,,,,,,,,METAR,1374
ZUUU 272200Z 00000MPS 8000 NSC 02/00 Q1026 NOSIG,ZUUU,2025-01-27T22:00:00Z,30.576,103.95,2,0,0,0,,4.97,30.30,,,,,,TRUE,,,,,CLR,,,,,,,,MVFR,,,,,,,,,,,,METAR,494
ZUTF 272200Z 36001MPS CAVOK 02/01 Q1026 NOSIG,ZUTF,2025-01-27T22:00:00Z,30.304,104.436,2,1,360,2,,6+,30.30,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,443
ZUGY 272200Z 00000MPS 9999 FEW030 02/01 Q1024 NOSIG,ZUGY,2025-01-27T22:00:00Z,26.538,106.801,2,1,0,0,,6+,30.24,,,,,,TRUE,,,,,FEW,3000,,,,,,,VFR,,,,,,,,,,,,METAR,1130
ZUCK 272200Z 31002MPS 290V350 CAVOK 06/00 Q1026 NOSIG,ZUCK,2025-01-27T22:00:00Z,29.718,106.639,6,0,310,4,,6+,30.30,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,416
ZSSS 272200Z 29003MPS CAVOK M00/M10 Q1029 NOSIG,ZSSS,2025-01-27T22:00:00Z,31.209,121.337,0,-10,290,6,,6+,30.38,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,2
ZSQD 272200Z 29006MPS CAVOK M07/M18 Q1025 NOSIG,ZSQD,2025-01-27T22:00:00Z,36.362,120.087,-7,-18,290,12,,6+,30.27,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,2
ZSPD 272200Z 30005MPS CAVOK 01/M13 Q1028 NOSIG,ZSPD,2025-01-27T22:00:00Z,31.146,121.8,1,-13,300,10,,6+,30.35,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,4
ZSOF 272200Z 25003MPS CAVOK M03/M09 Q1029 NOSIG,ZSOF,2025-01-27T22:00:00Z,31.99,116.965,-3,-9,250,6,,6+,30.38,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,64
ZSNJ 272200Z 29001MPS CAVOK M06/M06 Q1028 NOSIG,ZSNJ,2025-01-27T22:00:00Z,31.739,118.863,-6,-6,290,2,,6+,30.35,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,27
ZSNB 272200Z 01002MPS 330V050 CAVOK 00/M10 Q1029 NOSIG,ZSNB,2025-01-27T22:00:00Z,29.827,121.462,0,-10,10,4,,6+,30.38,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,5
ZSHC 272200Z VRB01MPS CAVOK M01/M08 Q1029 NOSIG,ZSHC,2025-01-27T22:00:00Z,30.229,120.434,-1,-8,VRB,2,,6+,30.38,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,8
ZSFZ 272200Z 35002MPS 310V020 CAVOK 07/02 Q1027 NOSIG,ZSFZ,2025-01-27T22:00:00Z,25.936,119.666,7,2,350,4,,6+,30.32,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,14
ZSAM 272200Z 04004MPS CAVOK 09/M01 Q1026 NOSIG,ZSAM,2025-01-27T22:00:00Z,24.546,118.131,9,-1,40,8,,6+,30.30,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13
ZPPP 272200Z 03003MPS 4000 BR SCT003 SCT016 OVC036 M00/M01 Q1022 NOSIG,ZPPP,2025-01-27T22:00:00Z,25.107,102.934,0,-1,30,6,,2.49,30.18,,,,,,TRUE,,,,BR,SCT,300,SCT,1600,OVC,3600,,,IFR,,,,,,,,,,,,METAR,2104
ZMUB 272200Z 00000MPS 6000 SCT100 M26/M29 Q1017 NOSIG RMK QFE655.2 69 NT,ZMUB,2025-01-27T22:00:00Z,47.843,106.766,-26,-29,0,0,,3.73,30.03,,,,,,TRUE,,,,,SCT,10000,,,,,,,MVFR,,,,,,,,,,,,METAR,1300
ZMCK 272200Z VRB02MPS 9999 SCT100 M27/M31 Q1015 NOSIG RMK QFE646.0 72 NT,ZMCK,2025-01-27T22:00:00Z,47.651,106.822,-27,-31,VRB,4,,6+,29.97,,,,,,TRUE,,,,,SCT,10000,,,,,,,VFR,,,,,,,,,,,,METAR,1366
ZLXY 272200Z VRB01MPS CAVOK M09/M11 Q1029 NOSIG,ZLXY,2025-01-27T22:00:00Z,34.449,108.752,-9,-11,VRB,2,,6+,30.38,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,478
ZLLL 272200Z 32002MPS 7000 NSC M18/M21 Q1021 NOSIG,ZLLL,2025-01-27T22:00:00Z,36.513,103.623,-18,-21,320,4,,4.35,30.15,,,,,,TRUE,,,,,CLR,,,,,,,,MVFR,,,,,,,,,,,,METAR,1939
ZJSY 272200Z 08006MPS 9999 BKN050 17/08 Q1019 NOSIG,ZJSY,2025-01-27T22:00:00Z,18.303,109.412,17,8,80,12,,6+,30.09,,,,,,TRUE,,,,,BKN,5000,,,,,,,VFR,,,,,,,,,,,,METAR,27
ZJHK 272200Z 05004MPS CAVOK 14/07 Q1022 NOSIG,ZJHK,2025-01-27T22:00:00Z,19.934,110.445,14,7,50,8,,6+,30.18,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,21
ZHHH 272200Z 05002MPS CAVOK M02/M05 Q1029 NOSIG,ZHHH,2025-01-27T22:00:00Z,30.783,114.205,-2,-5,50,4,,6+,30.38,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,33
ZHEC 272200Z VRB01MPS 8000 NSC M01/M03 Q1030 NOSIG,ZHEC,2025-01-27T22:00:00Z,30.3424,115.039,-1,-3,VRB,2,,4.97,30.41,,,,,,TRUE,,,,,CLR,,,,,,,,MVFR,,,,,,,,,,,,METAR,21
ZHCC 272200Z 32002MPS CAVOK M04/M14 Q1029 NOSIG,ZHCC,2025-01-27T22:00:00Z,34.52,113.834,-4,-14,320,4,,6+,30.38,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,149
ZGSZ 272200Z 03004MPS 360V080 CAVOK 12/M03 Q1024 NOSIG,ZGSZ,2025-01-27T22:00:00Z,22.639,113.803,12,-3,30,8,,6+,30.24,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,18
ZGOW 272200Z 02003MPS CAVOK 11/M03 Q1024 NOSIG,ZGOW,2025-01-27T22:00:00Z,23.55,116.505,11,-3,20,6,,6+,30.24,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,4
ZGNN 272200Z 03002MPS CAVOK 10/04 Q1025 NOSIG,ZGNN,2025-01-27T22:00:00Z,22.609,108.173,10,4,30,4,,6+,30.27,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,128
ZGKL 272200Z VRB01MPS CAVOK 07/03 Q1026 NOSIG,ZGKL,2025-01-27T22:00:00Z,25.22,110.04,7,3,VRB,2,,6+,30.30,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,151
ZGHA 272200Z 36001MPS 7000 NSC 01/M01 Q1029 NOSIG,ZGHA,2025-01-27T22:00:00Z,28.18,113.219,1,-1,360,2,,4.35,30.38,,,,,,TRUE,,,,,CLR,,,,,,,,MVFR,,,,,,,,,,,,METAR,61
ZGGG 272200Z 04005MPS CAVOK 11/M04 Q1025 NOSIG,ZGGG,2025-01-27T22:00:00Z,23.392,113.307,11,-4,40,10,,6+,30.27,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,11
ZBYN 272200Z 19002MPS 160V250 CAVOK M10/M24 Q1024 NOSIG,ZBYN,2025-01-27T22:00:00Z,37.747,112.628,-10,-24,190,4,,6+,30.24,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,778
ZBTJ 272200Z 32005MPS CAVOK M09/M24 Q1027 NOSIG,ZBTJ,2025-01-27T22:00:00Z,39.124,117.346,-9,-24,320,10,,6+,30.32,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,4
ZBSJ 272200Z VRB01MPS CAVOK M11/M19 Q1027 NOSIG,ZBSJ,2025-01-27T22:00:00Z,38.281,114.697,-11,-19,VRB,2,,6+,30.32,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,70
ZBHH 272200Z 05002MPS CAVOK M25/M28 Q1023 NOSIG,ZBHH,2025-01-27T22:00:00Z,40.854,111.827,-25,-28,50,4,,6+,30.21,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,1081
ZBAD 272200Z 01008MPS CAVOK M08/M23 Q1027 NOSIG,ZBAD,2025-01-27T22:00:00Z,39.501,116.412,-8,-23,10,16,,6+,30.32,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,25
ZBAA 272200Z 32007MPS CAVOK M08/M25 Q1028 NOSIG,ZBAA,2025-01-27T22:00:00Z,40.082,116.603,-8,-25,320,14,,6+,30.35,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,31
YWLM 272200Z 34005KT CAVOK 29/22 Q1010,YWLM,2025-01-27T22:00:00Z,-32.794,151.836,29,22,340,5,,6+,29.82,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,7
YSTW 272200Z AUTO 35009KT 9999 // NCD 29/19 Q1016,YSTW,2025-01-27T22:00:00Z,-31.084,150.847,29,19,350,9,,6+,30.00,,,TRUE,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,404
YSSY 272200Z 30005KT CAVOK 28/21 Q1008,YSSY,2025-01-27T22:00:00Z,-33.946,151.173,28,21,300,5,,6+,29.76,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,3
YSRI 272200Z AUTO 06005KT 9999 // NCD 29/25 Q1008,YSRI,2025-01-27T22:00:00Z,-33.601,150.777,29,25,60,5,,6+,29.76,,,TRUE,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,19
YSNF 272200Z 10012KT 9999 FEW030 24/17 Q1018,YSNF,2025-01-27T22:00:00Z,-29.039,167.941,24,17,100,12,,6+,30.06,,,,,,,,,,,FEW,3000,,,,,,,VFR,,,,,,,,,,,,METAR,113
YSDU 272200Z AUTO 34009KT 9999 // NCD 32/19 Q1013,YSDU,2025-01-27T22:00:00Z,-32.221,148.575,32,19,340,9,,6+,29.91,,,TRUE,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,285
YSCB 272200Z AUTO 33017KT 9999 // NCD 28/16 Q1012,YSCB,2025-01-27T22:00:00Z,-35.309,149.2,28,16,330,17,,6+,29.88,,,TRUE,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,577
YPXM 272200Z AUTO 30006KT 9999 // SCT046 24/23 Q1008,YPXM,2025-01-27T22:00:00Z,-10.453,105.688,24,23,300,6,,6+,29.76,,,TRUE,,,,,,,,SCT,4600,,,,,,,VFR,,,,,,,,,,,,METAR,262
YPWR 272200Z AUTO 15021KT 9999 // NCD 20/12 Q1016,YPWR,2025-01-27T22:00:00Z,-31.156,136.805,20,12,150,21,,6+,30.00,,,TRUE,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,169
YPTN 272200Z AUTO 33002KT 9999 // NCD 27/24 Q1008,YPTN,2025-01-27T22:00:00Z,-14.523,132.383,27,24,330,2,,6+,29.76,,,TRUE,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,135
YPPH 272200Z 03005KT 330V140 CAVOK 18/09 Q1017,YPPH,2025-01-27T22:00:00Z,-31.927,115.976,18,9,30,5,,6+,30.03,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,16
YPLM 272200Z AUTO 25005KT 9999 // NCD 28/25 Q1006,YPLM,2025-01-27T22:00:00Z,-22.241,114.097,28,25,250,5,,6+,29.70,,,TRUE,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,5
YPKU 272200Z AUTO 35001KT 9999 -RA FEW042 BKN099 27/25 Q1007,YPKU,2025-01-27T22:00:00Z,-15.781,128.71,27,25,350,1,,6+,29.73,,,TRUE,,,,,,,-RA,FEW,4200,BKN,9900,,,,,VFR,,,,,,,,,,,,METAR,42
YPKG 272200Z AUTO 11013KT 9999 // NCD 18/10 Q1020,YPKG,2025-01-27T22:00:00Z,-30.785,121.453,18,10,110,13,,6+,30.12,,,TRUE,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,372
YPJT 272200Z AUTO 10011KT 9999 // NCD 18/10 Q1018,YPJT,2025-01-27T22:00:00Z,-32.101,115.879,18,10,100,11,,6+,30.06,,,TRUE,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,29
YPGV 272200Z AUTO 00000KT 9999 // NCD 27/25 Q1007,YPGV,2025-01-27T22:00:00Z,-12.274,136.82,27,25,0,0,,6+,29.73,,,TRUE,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,53
YPEA 272200Z AUTO 14011G21KT 9999 // NCD 18/10 Q1017,YPEA,2025-01-27T22:00:00Z,-31.667,116.019,18,10,140,11,21,6+,30.03,,,TRUE,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,38
YPDN 272200Z 24002KT 9999 FEW008 BKN320 29/27 Q1007,YPDN,2025-01-27T22:00:00Z,-12.424,130.893,29,27,240,2,,6+,29.73,,,,,,,,,,,FEW,800,BKN,32000,,,,,VFR,,,,,,,,,,,,METAR,32
YPCC 272200Z AUTO 11005KT 070V140 9999 // FEW019 SCT024 BKN120 26/25 Q1006 RESHRA,YPCC,2025-01-27T22:00:00Z,-12.189,96.834,26,25,110,5,,6+,29.70,,,TRUE,,,,,,,,FEW,1900,SCT,2400,BKN,12000,,,VFR,,,,,,,,,,,,METAR,3
YPAD 272200Z 18009KT 9999 FEW029 BKN040 20/12 Q1018,YPAD,2025-01-27T22:00:00Z,-34.952,138.52,20,12,180,9,,6+,30.06,,,,,,,,,,,FEW,2900,BKN,4000,,,,,VFR,,,,,,,,,,,,METAR,2
YMML 272200Z 22011G21KT 9999 FEW032 BKN038 19/09 Q1014,YMML,2025-01-27T22:00:00Z,-37.666,144.832,19,9,220,11,21,6+,29.94,,,,,,,,,,,FEW,3200,BKN,3800,,,,,VFR,,,,,,,,,,,,METAR,115
YMLT 272200Z AUTO 34007KT 9999 // NCD 17/09 Q1008,YMLT,2025-01-27T22:00:00Z,-41.544,147.213,17,9,340,7,,6+,29.76,,,TRUE,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,167
